epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,885.905,1.88202,1.51271,1.38378,0.8405,0.75656,0.81987,0.43298,1.65843,1.14544,1.25225,0.00166111,0.000553703,0.00166111,0.000553703,0.00166111,0.000553703,0.00166111,0.000553703
2,1227.14,1.61346,1.23365,1.2598,0.82723,0.75993,0.82711,0.43901,1.60667,1.10507,1.25283,0.00329516,0.00109839,0.00329516,0.00109839,0.00329516,0.00109839,0.00329516,0.00109839
3,1504.65,1.54145,1.17253,1.24085,0.84627,0.7673,0.85073,0.4674,1.56867,1.0515,1.234,0.00489621,0.00163207,0.00489621,0.00163207,0.00489621,0.00163207,0.00489621,0.00163207
4,1808.73,1.54119,1.17007,1.26162,0.80198,0.75088,0.81581,0.4348,1.60212,1.07603,1.26161,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749
5,2249.95,1.48005,1.12738,1.22261,0.8178,0.78181,0.81963,0.44123,1.54596,1.02465,1.23883,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099
6,2659.47,1.48405,1.07179,1.21977,0.79857,0.76674,0.82737,0.45094,1.52058,1.0362,1.22493,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
7,3086.37,1.46022,1.06315,1.20107,0.80557,0.777,0.822,0.43479,1.58924,1.00743,1.24664,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
8,3532.85,1.45038,1.03008,1.19703,0.81435,0.75571,0.81196,0.41869,1.61389,1.0473,1.26094,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
9,4011.88,1.45532,1.07045,1.21654,0.82256,0.74771,0.81885,0.44954,1.55589,1.00971,1.24064,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
10,4332.19,1.39883,1.02594,1.18036,0.82448,0.7609,0.81435,0.44489,1.57159,1.01437,1.24973,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
11,4735.59,1.41205,1.01833,1.19608,0.80675,0.76094,0.8027,0.4308,1.55387,1.03646,1.23936,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
12,5146.2,1.39346,0.96743,1.16432,0.83506,0.74176,0.81548,0.44622,1.53349,1.01639,1.23477,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546
13,5573.73,1.371,0.95999,1.16067,0.82925,0.78718,0.83607,0.46655,1.47855,0.95247,1.22304,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
14,5997.39,1.35742,0.92953,1.155,0.79234,0.82105,0.84091,0.45564,1.57347,0.95786,1.24559,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246
15,6416.69,1.35626,0.9275,1.14748,0.8481,0.78607,0.84127,0.46819,1.5179,0.94226,1.22786,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
16,6752,1.33005,0.92423,1.1525,0.84219,0.7914,0.83558,0.45452,1.53223,0.9432,1.25154,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
17,7217.12,1.309,0.90101,1.13642,0.823,0.78817,0.82304,0.44783,1.49542,0.91941,1.24943,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
18,7691.31,1.2812,0.86736,1.12392,0.82349,0.78336,0.83076,0.45227,1.51932,0.94007,1.24309,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644
19,8168.02,1.29567,0.86077,1.12939,0.8448,0.78436,0.82954,0.4533,1.50877,0.94409,1.24902,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
20,8621.48,1.32383,0.87771,1.13307,0.83051,0.77912,0.82592,0.45874,1.50602,0.94062,1.23631,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344
21,9075.01,1.30354,0.85817,1.13937,0.82555,0.78198,0.8323,0.45899,1.52434,0.92588,1.22734,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
22,9313.8,1.29117,0.85906,1.12324,0.80437,0.79173,0.82937,0.45606,1.49899,0.90812,1.24433,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043
23,9545.49,1.27946,0.84476,1.12554,0.81414,0.78785,0.82942,0.46141,1.50777,0.93149,1.23547,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
24,9776.1,1.25689,0.82843,1.1209,0.81734,0.78827,0.83265,0.46683,1.50485,0.90626,1.22913,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742
25,10003,1.26469,0.82986,1.10235,0.84181,0.77505,0.82427,0.45305,1.5065,0.89879,1.23994,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
26,10234.2,1.28629,0.85756,1.10431,0.81739,0.80008,0.83518,0.46802,1.47343,0.89465,1.23119,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
27,10459.4,1.27974,0.82865,1.12419,0.82368,0.77734,0.82496,0.45311,1.53323,0.91613,1.25289,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
28,10688.1,1.21133,0.76858,1.09206,0.83017,0.80996,0.83218,0.46129,1.48844,0.89938,1.23157,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141
29,10917.5,1.21645,0.79441,1.0925,0.79979,0.80187,0.81599,0.43628,1.57442,0.91903,1.27433,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
30,11144,1.21752,0.78934,1.09441,0.8158,0.81845,0.85027,0.47416,1.49636,0.87678,1.23927,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884
31,11369.8,1.23051,0.78017,1.08446,0.82029,0.7931,0.83032,0.45296,1.51117,0.89311,1.24702,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
32,11600,1.24546,0.78456,1.10145,0.83347,0.80496,0.85225,0.46676,1.55594,0.88294,1.25219,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554
33,11826.5,1.215,0.78356,1.08995,0.81853,0.83996,0.852,0.47363,1.48442,0.84696,1.22348,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
34,12052.2,1.19391,0.74415,1.07484,0.80077,0.80374,0.83724,0.47571,1.47106,0.87182,1.2274,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239
35,12280.9,1.20807,0.75847,1.09548,0.81387,0.78768,0.82838,0.45768,1.5083,0.87115,1.23913,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
36,12505.9,1.14608,0.7431,1.06458,0.79223,0.80948,0.82511,0.46285,1.48842,0.85094,1.24105,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
37,12734.3,1.18244,0.74459,1.07868,0.82515,0.80024,0.83823,0.4614,1.50739,0.85793,1.25748,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
38,12971.3,1.18631,0.72938,1.07475,0.85082,0.79205,0.84526,0.47379,1.48817,0.85109,1.25112,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638
