epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1080.12,1.63756,3.38653,1.75412,0.30742,0.29301,0.22621,0.08966,1.89539,4.54022,1.30773,0.00166493,0.000554977,0.00166493,0.000554977,0.00166493,0.000554977,0.00166493,0.000554977
2,1738.41,1.51585,2.74369,1.6373,0.45643,0.44156,0.41226,0.1771,1.93095,3.52903,1.34166,0.00328481,0.00109494,0.00328481,0.00109494,0.00328481,0.00109494,0.00328481,0.00109494
3,2316.34,1.47032,2.4344,1.59111,0.4882,0.46419,0.41436,0.1789,2.34434,3.36484,1.45243,0.00485753,0.00161918,0.00485753,0.00161918,0.00485753,0.00161918,0.00485753,0.00161918
4,2877.81,1.46891,2.24284,1.61709,0.45461,0.45613,0.39849,0.16856,2.13417,3.52571,1.49115,0.00478881,0.00159627,0.00478881,0.00159627,0.00478881,0.00159627,0.00478881,0.00159627
5,3448.02,1.4581,2.08921,1.60082,0.51595,0.49425,0.50621,0.22082,1.99279,2.7448,1.38854,0.00471809,0.0015727,0.00471809,0.0015727,0.00471809,0.0015727,0.00471809,0.0015727
6,4006.11,1.43683,1.97327,1.57625,0.55088,0.56885,0.56954,0.24327,1.94456,2.45419,1.36955,0.00464736,0.00154912,0.00464736,0.00154912,0.00464736,0.00154912,0.00464736,0.00154912
7,4567.16,1.40921,1.85428,1.55595,0.59699,0.55312,0.53307,0.22404,2.13099,2.50576,1.43252,0.00457663,0.00152554,0.00457663,0.00152554,0.00457663,0.00152554,0.00457663,0.00152554
8,5129.38,1.39682,1.79746,1.55274,0.52906,0.5205,0.45639,0.2133,2.58247,2.6898,1.69941,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
9,5687.11,1.38197,1.71678,1.54186,0.56491,0.55581,0.51598,0.23201,2.26862,2.46288,1.51312,0.00443517,0.00147839,0.00443517,0.00147839,0.00443517,0.00147839,0.00443517,0.00147839
10,6247.12,1.36658,1.66409,1.52338,0.59551,0.62901,0.59583,0.26488,2.12815,2.0464,1.42705,0.00436444,0.00145481,0.00436444,0.00145481,0.00436444,0.00145481,0.00436444,0.00145481
11,6810.26,1.36413,1.60374,1.52646,0.57596,0.59403,0.53014,0.24161,2.29038,2.16595,1.48913,0.00429372,0.00143124,0.00429372,0.00143124,0.00429372,0.00143124,0.00429372,0.00143124
12,7378.13,1.35293,1.53913,1.5097,0.59877,0.53543,0.51828,0.23571,2.24818,2.20328,1.49231,0.00422299,0.00140766,0.00422299,0.00140766,0.00422299,0.00140766,0.00422299,0.00140766
13,7937.9,1.3339,1.5375,1.51508,0.58826,0.57876,0.5458,0.25724,2.23384,2.24436,1.46894,0.00415226,0.00138409,0.00415226,0.00138409,0.00415226,0.00138409,0.00415226,0.00138409
